description,duration_gt,duration_pred,idx,onset_gt,onset_pred,peak_time,status,onset
fp,,0.07,0,,6.27,6.31,fp,6.27
tp,0.27,0.18,0,11.74,11.77,11.83,tp,11.754999999999999
tp,0.28,0.12,1,12.1,12.17,12.21,tp,12.135
fp,,0.09,3,,21.14,21.16,fp,21.14
tp,0.3,0.23,2,35.77,35.83,35.89,tp,35.8
fp,,0.07,5,,53.03,53.07,fp,53.03
fp,,0.08,6,,55.1,55.12,fp,55.1
fp,,0.07,7,,60.59,60.64,fp,60.59
fp,,0.06,8,,60.7,60.72,fp,60.7
fp,,0.06,9,,68.4,68.43,fp,68.4
fp,,0.06,10,,82.74,82.75,fp,82.74
fp,,0.06,11,,82.86,82.87,fp,82.86
fp,,0.12,12,,83.83,83.87,fp,83.83
fp,,0.06,13,,89.49,89.52,fp,89.49
fp,,0.06,14,,91.73,91.77,fp,91.73
fp,,0.06,15,,91.88,91.89,fp,91.88
fp,,0.06,16,,92.64,92.66,fp,92.64
fp,,0.06,17,,105.27,105.29,fp,105.27
fp,,0.06,18,,117.77,117.81,fp,117.77
fp,,0.09,19,,118.72,118.72,fp,118.72
tp,0.23,0.19,3,120.79,120.81,120.87,tp,120.80000000000001
fp,,0.07,21,,144.38,144.42,fp,144.38
fp,,0.07,22,,148.22,148.26,fp,148.22
fp,,0.07,23,,148.45,148.47,fp,148.45
fp,,0.11,24,,157.16,157.19,fp,157.16
fp,,0.06,25,,184.49,184.5,fp,184.49
fp,,0.07,26,,185.43,185.48,fp,185.43
tp,0.35,0.25,4,199.69,199.76,199.83,tp,199.725
fp,,0.07,28,,223.16,223.2,fp,223.16
fp,,0.24,29,,223.89,224.0,fp,223.89
fp,,0.08,30,,224.17,224.22,fp,224.17
fp,,0.12,31,,224.85,224.87,fp,224.85
fp,,0.06,32,,225.1,225.13,fp,225.1
fp,,0.06,33,,232.09,232.12,fp,232.09
fp,,0.06,34,,232.26,232.28,fp,232.26
fp,,0.07,35,,232.36,232.38,fp,232.36
fp,,0.22,36,,237.72,237.91,fp,237.72
fp,,0.13,37,,238.94,239.02,fp,238.94
fp,,0.06,38,,242.58,242.6,fp,242.58
fp,,0.07,39,,246.42,246.45,fp,246.42
tp,0.22,0.18,5,257.14,257.16,257.27,tp,257.15
fp,,0.06,41,,273.04,273.04,fp,273.04
fp,,0.09,42,,287.25,287.26,fp,287.25
fp,,0.07,43,,291.23,291.23,fp,291.23
fp,,0.09,44,,305.4,305.43,fp,305.4
fp,,0.08,45,,312.12,312.16,fp,312.12
fp,,0.06,46,,312.31,312.34,fp,312.31
fp,,0.06,47,,312.4,312.42,fp,312.4
fp,,0.17,48,,315.48,315.61,fp,315.48
fp,,0.14,49,,315.73,315.8,fp,315.73
fp,,0.11,50,,316.83,316.85,fp,316.83
fp,,0.07,51,,328.93,328.97,fp,328.93
tp,0.41,0.25,6,333.07,333.2,333.27,tp,333.135
fp,,0.06,53,,345.63,345.67,fp,345.63
fp,,0.09,54,,357.33,357.39,fp,357.33
fp,,0.1,55,,371.62,371.64,fp,371.62
fp,,0.08,56,,372.09,372.13,fp,372.09
fp,,0.06,57,,377.92,377.94,fp,377.92
fp,,0.06,58,,378.06,378.07,fp,378.06
fp,,0.06,59,,390.37,390.39,fp,390.37
fp,,0.1,60,,390.46,390.48,fp,390.46
fp,,0.16,61,,391.25,391.29,fp,391.25
tp,0.29,0.24,7,397.33,397.36,397.45,tp,397.345
tp,0.34,0.25,8,402.67,402.68,402.8,tp,402.675
tp,0.33,0.16,9,403.3,403.39,403.41,tp,403.345
tp,0.33,0.17,10,414.95,415.02,415.11,tp,414.985
fp,,0.06,66,,418.58,418.6,fp,418.58
fp,,0.06,67,,418.7,418.71,fp,418.7
tp,0.41,0.28,11,424.28,424.34,424.47,tp,424.30999999999995
fp,,0.08,69,,429.24,429.27,fp,429.24
fp,,0.07,70,,441.32,441.36,fp,441.32
fp,,0.07,71,,445.88,445.9,fp,445.88
fp,,0.21,72,,467.08,467.17,fp,467.08
fp,,0.07,73,,469.64,469.66,fp,469.64
fp,,0.06,74,,482.97,482.99,fp,482.97
tp,0.23,0.23,12,485.19,485.22,485.29,tp,485.20500000000004
fp,,0.08,76,,490.52,490.55,fp,490.52
fp,,0.06,77,,492.15,492.18,fp,492.15
fp,,0.11,78,,493.03,493.05,fp,493.03
fp,,0.06,79,,506.56,506.6,fp,506.56
fp,,0.06,80,,521.48,521.51,fp,521.48
tp,0.33,0.19,13,527.22,527.3,527.39,tp,527.26
fp,,0.06,82,,530.82,530.84,fp,530.82
tp,0.28,0.22,14,538.05,538.08,538.14,tp,538.065
fp,,0.06,84,,541.01,541.02,fp,541.01
fp,,0.12,85,,547.7,547.73,fp,547.7
fp,,0.12,86,,547.84,547.93,fp,547.84
fp,,0.11,87,,548.49,548.55,fp,548.49
fp,,0.06,88,,555.29,555.3,fp,555.29
fp,,0.06,89,,568.41,568.42,fp,568.41
fp,,0.06,90,,568.55,568.56,fp,568.55
tp,0.18,0.25,15,572.44,572.44,572.52,tp,572.44
fp,,0.06,92,,577.2,577.23,fp,577.2
fp,,0.07,93,,586.27,586.3,fp,586.27
fp,,0.29,94,,588.13,588.29,fp,588.13
fp,,0.06,95,,596.44,596.48,fp,596.44
fp,,0.06,96,,597.44,597.48,fp,597.44
tp,0.24,0.28,16,598.91,598.95,599.07,tp,598.9300000000001
tp,0.39,0.24,17,602.77,602.82,602.92,tp,602.7950000000001
fp,,0.07,99,,607.97,607.99,fp,607.97
tp,0.36,0.2,18,622.1,622.18,622.32,tp,622.14
fp,,0.16,101,,627.96,628.03,fp,627.96
fp,,0.08,102,,631.25,631.3,fp,631.25
fp,,0.06,103,,633.67,633.7,fp,633.67
fp,,0.06,104,,635.97,636.01,fp,635.97
fp,,0.06,105,,646.81,646.83,fp,646.81
fp,,0.06,106,,646.97,647.0,fp,646.97
fp,,0.06,107,,648.09,648.11,fp,648.09
fp,,0.06,108,,656.84,656.86,fp,656.84
fp,,0.07,109,,659.23,659.28,fp,659.23
tp,0.38,0.27,19,660.45,660.55,660.61,tp,660.5
fp,,0.06,111,,675.06,675.09,fp,675.06
fp,,0.13,112,,681.56,681.61,fp,681.56
fp,,0.06,113,,681.83,681.85,fp,681.83
fp,,0.14,114,,681.94,682.0,fp,681.94
fp,,0.09,115,,683.18,683.19,fp,683.18
fp,,0.08,116,,684.01,684.02,fp,684.01
fp,,0.09,117,,684.11,684.15,fp,684.11
fp,,0.09,118,,685.19,685.23,fp,685.19
fp,,0.06,119,,688.45,688.46,fp,688.45
