onset,duration,description
6.27,0.07,fp
11.77,0.18,tp
12.17,0.12,tp
21.14,0.09,fp
35.83,0.23,tp
53.03,0.07,fp
55.1,0.08,fp
60.59,0.07,fp
60.7,0.06,fp
68.4,0.06,fp
82.74,0.06,fp
82.86,0.06,fp
83.83,0.12,fp
89.49,0.06,fp
91.73,0.06,fp
91.88,0.06,fp
92.64,0.06,fp
105.27,0.06,fp
117.77,0.06,fp
118.72,0.09,fp
120.81,0.19,tp
144.38,0.07,fp
148.22,0.07,fp
148.45,0.07,fp
157.16,0.11,fp
184.49,0.06,fp
185.43,0.07,fp
199.76,0.25,tp
223.16,0.07,fp
223.89,0.24,fp
224.17,0.08,fp
224.85,0.12,fp
225.1,0.06,fp
232.09,0.06,fp
232.26,0.06,fp
232.36,0.07,fp
237.72,0.22,fp
238.94,0.13,fp
242.58,0.06,fp
246.42,0.07,fp
257.16,0.18,tp
273.04,0.06,fp
287.25,0.09,fp
291.23,0.07,fp
305.4,0.09,fp
312.12,0.08,fp
312.31,0.06,fp
312.4,0.06,fp
315.48,0.17,fp
315.73,0.14,fp
316.83,0.11,fp
328.93,0.07,fp
333.2,0.25,tp
345.63,0.06,fp
357.33,0.09,fp
371.62,0.1,fp
372.09,0.08,fp
377.92,0.06,fp
378.06,0.06,fp
390.37,0.06,fp
390.46,0.1,fp
391.25,0.16,fp
397.36,0.24,tp
402.68,0.25,tp
403.39,0.16,tp
415.02,0.17,tp
418.58,0.06,fp
418.7,0.06,fp
424.34,0.28,tp
429.24,0.08,fp
441.32,0.07,fp
445.88,0.07,fp
467.08,0.21,fp
469.64,0.07,fp
482.97,0.06,fp
485.22,0.23,tp
490.52,0.08,fp
492.15,0.06,fp
493.03,0.11,fp
506.56,0.06,fp
521.48,0.06,fp
527.3,0.19,tp
530.82,0.06,fp
538.08,0.22,tp
541.01,0.06,fp
547.7,0.12,fp
547.84,0.12,fp
548.49,0.11,fp
555.29,0.06,fp
568.41,0.06,fp
568.55,0.06,fp
572.44,0.25,tp
577.2,0.06,fp
586.27,0.07,fp
588.13,0.29,fp
596.44,0.06,fp
597.44,0.06,fp
598.95,0.28,tp
602.82,0.24,tp
607.97,0.07,fp
622.18,0.2,tp
627.96,0.16,fp
631.25,0.08,fp
633.67,0.06,fp
635.97,0.06,fp
646.81,0.06,fp
646.97,0.06,fp
648.09,0.06,fp
656.84,0.06,fp
659.23,0.07,fp
660.55,0.27,tp
675.06,0.06,fp
681.56,0.13,fp
681.83,0.06,fp
681.94,0.14,fp
683.18,0.09,fp
